,Company,Origin,Model,CC,Horsepower,Torque,Transmission,Drivetrain,Seating,Price(Lakhs),Year,Looks,Body,Engine,Cylinders
19,BMW,Germany,S 1000 RR,999.0,199.0,113.0,6-speed Manual,Chain,2,16.0,2023,Sporty,Superbike,Liquid-cooled inline-4,4
20,BMW,Germany,S 1000 R,999.0,165.0,112.0,6-speed Manual,Chain,2,12.0,2023,Sporty,Roadster,Liquid-cooled inline-4,4
21,Brixton Motorcycles,Austria,Cromwell 125,125.0,11.7,11.9,Manual,Chain,1,1.5,2022,Classy,Cafe Racer,"Single-cylinder, air-cooled",1
22,Brixton Motorcycles,Austria,BX 150,149.0,11.7,11.9,Manual,Chain,2,1.25,2022,Classic,Bobber,"Single-cylinder, air-cooled",1
23,Brixton Motorcycles,Austria,Crossfire 500,500.0,41.0,38.0,Manual,Chain,2,3.5,2022,Adventure,Scrambler,"Single-cylinder, liquid-cooled",1
24,Brixton Motorcycles,Austria,Crossfire 500 X,500.0,41.0,38.0,Manual,Chain,2,3.75,2022,Adventure,Cafe Racer,"Single-cylinder, liquid-cooled",1
25,Brixton Motorcycles,Austria,Sunray 500,500.0,41.0,38.0,Manual,Chain,2,4.0,2022,Classic,Cruiser,"Single-cylinder, liquid-cooled",1
26,Buell Motorcycle Company,United States,Blast,492.0,45.0,37.0,Manual,Chain,1,4.5,<2020,Classy,Naked,"Single-cylinder, liquid-cooled",1
27,Buell Motorcycle Company,United States,Lightning,984.0,110.0,97.0,Manual,Belt,1,10.0,<2020,Sporty,Sportbike,"V-twin, liquid-cooled",2
28,Buell Motorcycle Company,United States,Ulysses,1125.0,96.0,98.0,Manual,Belt,2,13.0,<2020,Adventure,Adventure touring,"V-twin, liquid-cooled",2
29,Buell Motorcycle Company,United States,XB9R Firebolt,984.0,110.0,97.0,Manual,Chain,1,11.0,<2020,Sporty,Naked,"V-twin, liquid-cooled",2
30,Buell Motorcycle Company,United States,XB12S Lightning,1201.0,105.0,103.0,Manual,Chain,1,12.0,<2020,Sporty,Sportbike,"V-twin, liquid-cooled",2
31,Cagiva,Italy,Raptor 125,124.9,15.0,12.0,Manual,Chain,1,1.5,<2020,Sporty,Naked,"Single-cylinder, air-cooled",1
32,Cagiva,Italy,Mito 125,125.0,15.0,12.0,Manual,Chain,1,1.25,<2020,Sporty,Sportbike,"Single-cylinder, air-cooled",1
33,Cagiva,Italy,Elefant 900,893.0,80.0,66.0,Manual,Chain,2,8.0,<2020,Adventure,Adventure touring,"V-twin, air-cooled",2
34,Cagiva,Italy,V-Raptor 1000,998.0,100.0,95.0,Manual,Chain,1,10.0,<2020,Sporty,Superbike,"V-twin, liquid-cooled",2
35,Cagiva,Italy,Gran Canyon 1100,1078.0,95.0,98.0,Manual,Chain,2,11.0,<2020,Adventure,Adventure touring,"V-twin, liquid-cooled",2
36,CCM,United Kingdom,Spitfire 650,650.0,65.0,54.0,6-speed Manual,Chain,1,12.0,2022,Classy,Naked,"Parallel-twin, liquid-cooled",2
37,CCM,United Kingdom,GP450R,450.0,60.0,40.0,6-speed Manual,Chain,1,10.0,2022,Sporty,Supermoto,"Single-cylinder, liquid-cooled",1
38,CCM,United Kingdom,Interceptor 900,900.0,86.0,77.0,6-speed Manual,Chain,2,15.0,2022,Adventure,Adventure touring,"Parallel-twin, liquid-cooled",2
39,CCM,United Kingdom,Storm 1200,1200.0,115.0,105.0,6-speed Manual,Chain,2,20.0,2022,Adventure,Adventure touring,"Parallel-twin, liquid-cooled",2
40,CFMOTO,China,300NK,292.4,33.99,21.5,6-speed Manual,Chain,1,2.29,2022,Classy,Naked,Single-cylinder,1
41,CFMOTO,China,650NK,649.3,61.18,45.0,6-speed Manual,Chain,1,4.29,2022,Classy,Naked,Parallel-twin,2
42,CFMOTO,China,650MT,649.0,70.7,55.0,6-speed Manual,Chain,2,5.29,2022,Adventure,Adventure,Parallel-twin,2
43,CFMOTO,China,650GT,649.3,62.54,49.0,6-speed Manual,Shaft,2,5.59,2022,Touring,Sport-touring,Parallel-twin,2
44,Confederate,United States,Hellcat,1967.0,205.0,183.6,6-speed Manual,Belt,1,45.48,2022,Retro,Cruiser,V-twin,2
45,Confederate,United States,Wraith,1967.0,190.0,170.0,6-speed Manual,Belt,1,41.43,2022,Modern,Roadster,V-twin,2
46,Confederate,United States,X132 Hellcat Combat Fighter,2163.0,227.0,194.5,6-speed Manual,Belt,1,82.85,2023,Modern,Fighter,V-twin,2
47,Daelim,South Korea,VL 125,124.9,10.8,10.2,5-speed Manual,Chain,1,1.3,2022,Classy,Cruiser,Single-cylinder,1
48,Daelim,South Korea,V125 FI,124.9,11.2,10.2,CVT,Automatic,1,1.4,2022,Classy,Scooter,Single-cylinder,1
49,Daelim,South Korea,NS 250 FI,249.6,27.6,22.4,6-speed Manual,Chain,1,2.39,2023,Sporty,Naked,Single-cylinder,1
50,Daelim,South Korea,Roadwin 250,249.6,27.6,22.4,6-speed Manual,Chain,1,2.59,2023,Adventure,Adventure,Single-cylinder,1
51,Ducati,Italy,Panigale V4,1103.0,221.0,168.6,6-speed Manual,Chain,1,27.41,2022,Classy,Sports,V4,4
52,Ducati,Italy,Diavel,1262.0,159.6,126.5,6-speed automatic,Belt,1,25.91,2022,Bold,Cruiser,L-Twin,2
53,Ducati,Italy,Scrambler 800,803.0,73.0,63.9,6-speed Manual,Chain,2,9.39,2022,Retro,Standard,L-Twin,2
54,Ducati,Italy,Monster,937.0,111.0,93.8,6-speed Manual,Chain,1,12.95,2022,Sleek,Naked,L-Twin,2
55,Ducati,Italy,Multistrada V4,1158.0,168.0,126.5,6-speed Manual,Shaft,2,21.48,2022,Adventure,Adventure,V4,4
56,Harley-Davidson,United States,Nightster,975.0,88.5,88.4,6-speed Manual,Belt,1,17.49,2023,Classy,Cruiser,V-twin,1
57,Harley-Davidson,United States,Sportster S,1252.0,120.7,127.8,6-speed Manual,Belt,1,18.79,2023,Classy,Cruiser,V-twin,1
58,Harley-Davidson,United States,Road Glide Special,1868.0,92.5,160.5,6-speed automatic,Belt,1,40.49,2023,Classy,Tourer,V-twin,2
59,Harley-Davidson,United States,Street Glide Special,1868.0,92.5,160.5,6-speed automatic,Belt,1,37.49,2023,Classy,Tourer,V-twin,2
60,Harley-Davidson,United States,PAN America 1250,1252.0,150.2,127.8,6-speed Manual,Chain,2,24.49,2023,Adventure,Adventure,V-twin,2
61,Harley-Davidson,United States,Fat Bob,1868.0,92.5,160.5,6-speed Manual,Belt,1,20.49,2023,Classy,Cruiser,V-twin,2
62,Harley-Davidson,United States,Fat Boy,1868.0,92.5,160.5,6-speed Manual,Belt,1,24.49,2023,Classy,Cruiser,V-twin,2
63,Harley-Davidson,United States,Heritage Classic,1868.0,94.0,152.3,6-speed Manual,Belt,2,26.59,2023,Classy,Cruiser,V-twin,2
64,Honda,Japan,CBR250R,249.6,26.5,19.4,Manual,Chain,2,1.45,2023,Classy,Sport,Single-cylinder,2
65,Honda,Japan,CB350R,348.36,31.0,27.3,Manual,Chain,2,1.85,2023,Classic,Standard,Single-cylinder,1
66,Honda,India,Hness CB350,348.36,29.6,30.0,Manual,Chain,2,1.65,2022,Classic,Standard,Single-cylinder,1
67,Honda,India,CB Shine,124.9,10.5,10.3,Manual,Chain,2,0.65,2023,Modern,Standard,Single-cylinder,1
68,Honda,India,Activa 125,124.9,8.75,10.3,CVT,Automatic,2,0.62,2023,Modern,Scooter,Single-cylinder,1
69,Husqvarna,Sweden,Vitpilen 401,373.2,43.0,37.0,6-speed Manual,Chain,2,3.25,2023,"Modern, stylish",Naked,Single-cylinder,1
70,Husqvarna,Sweden,Svartpilen 401,373.2,43.0,37.0,6-speed Manual,Chain,2,3.35,2023,"Modern, rugged",Adventure,Single-cylinder,1
71,Husqvarna,Sweden,701 Supermoto,693.0,75.0,72.0,6-speed Manual,Chain,1,6.5,2023,"Modern, sporty",Supermoto,Single-cylinder,1
72,Husqvarna,Sweden,701 Enduro,693.0,75.0,72.0,6-speed Manual,Chain,1,7.5,2023,"Modern, off-road",Enduro,Single-cylinder,1
73,Indian,United States,Chief Dark Horse,1133.0,108.0,114.0,6-speed Manual,Chain,2,0.23,2023,"Classic, rugged",Cruiser,V-twin,2
74,Indian,United States,Chief Bobber Dark Horse,1133.0,108.0,114.0,6-speed Manual,Chain,2,0.24,2023,"Classic, bobber",Cruiser,V-twin,2
75,Indian,United States,Challenger Dark Horse,1799.0,122.0,178.0,6-speed Manual,Belt,2,0.26,2023,"Modern, muscular",Cruiser,V-twin,2
76,Indian,United States,FTR 1200 S,1203.0,120.0,110.0,6-speed Manual,Chain,1,0.2,2023,"Modern, sporty",Standard,V-twin,1
77,Indian,United States,Scout Bobber,1133.0,94.0,95.0,6-speed Manual,Chain,2,0.15,2023,"Modern, bobber",Standard,V-twin,1
78,Kawasaki,Japan,Ninja 300,296.0,39.0,27.0,6-speed Manual,Chain,2,3.43,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2
79,Kawasaki,Japan,Ninja 400,399.0,45.0,39.0,6-speed Manual,Chain,2,5.19,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2
80,Kawasaki,Japan,Ninja 650,649.0,67.0,66.0,6-speed Manual,Chain,2,6.65,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2
81,Kawasaki,Japan,Z900,948.0,125.0,98.6,6-speed Manual,Chain,2,9.11,2023,Aggressive,Naked,"Liquid-cooled, four-cylinder",4
82,Kawasaki,Japan,Z H2,998.0,197.0,140.0,6-speed Manual,Shaft,2,23.02,2023,Aggressive,Naked,"Supercharged, four-cylinder",4
83,Kawasaki,Japan,Vulcan S,649.0,60.0,62.0,6-speed Manual,Belt,2,6.95,2023,Classic,Cruiser,"Liquid-cooled, parallel-twin",2
84,KTM,Austria,125 Duke,125.0,15.0,12.0,6-speed Manual,Chain,1,1.78,2023,Classy,Naked,Single-cylinder,1
85,KTM,Austria,200 Duke,200.0,25.0,19.0,6-speed Manual,Chain,1,1.92,2023,Classy,Naked,Single-cylinder,1
86,KTM,Austria,250 Duke,250.0,30.0,24.0,6-speed Manual,Chain,1,2.2,2023,Classy,Naked,Single-cylinder,1
87,KTM,Austria,390 Duke,390.0,43.0,37.0,6-speed Manual,Chain,1,3.1,2023,Classy,Naked,Single-cylinder,1
88,KTM,Austria,RC 200,200.0,25.0,19.0,6-speed Manual,Chain,1,2.05,2023,Race-inspired,Sport,Single-cylinder,1
89,KTM,Austria,RC 390,390.0,43.0,37.0,6-speed Manual,Chain,1,3.3,2023,Race-inspired,Sport,Single-cylinder,1
90,KTM,Austria,390 Adventure,373.0,43.0,37.0,6-speed Manual,Chain,2,3.6,2023,Adventure,Adventure,Single-cylinder,1
91,KTM,Austria,790 Adventure,799.0,95.0,88.0,6-speed Manual,Chain,2,5.5,2023,Adventure,Adventure,Parallel-twin,2
92,Kymco,Taiwan,Agility 125,125.0,10.0,9.5,CVT,Automatic,1,0.75,2023,Classy,Scooter,Single-cylinder,1
93,Kymco,Taiwan,Downtown 300i,300.0,29.0,27.0,CVT,Automatic,2,1.5,2023,Classy,Scooter,Single-cylinder,1
94,Kymco,Taiwan,K-XCT 300,300.0,29.0,27.0,CVT,Automatic,2,1.6,2023,Adventure,Adventure,Single-cylinder,1
95,Kymco,Taiwan,AK 550,550.0,47.0,55.0,6-speed Manual,Chain,2,2.5,2023,Sport,Sport,Parallel-twin,2
96,Leonart,Italy,Daytona 125,125.0,12.5,10.2,Manual,Chain,1,1.05,2023,Modern,Naked,"Air Cooled, Single Cylinder, 4-Stroke",1
97,Leonart,Italy,Gran Turismo 300,300.0,25.8,23.5,Manual,Chain,1,1.5,2023,Modern,Sport,"Liquid Cooled, Single Cylinder, 4-Stroke",1
98,Leonart,Italy,Cafe Racer 500,500.0,38.0,38.0,Manual,Chain,1,2.0,2023,Retro,Cafe Racer,"Air Cooled, Single Cylinder, 4-Stroke",1
99,Leonart,Italy,Scrambler 650,650.0,47.0,50.0,Manual,Chain,1,2.5,2023,Adventure,Scrambler,"Liquid Cooled, Single Cylinder, 4-Stroke",1
100,Lambretta,India,V125,124.7,10.19,9.2,Automatic,Belt,1,0.85,2023,Classy,Scooter,"Air Cooled, Single Cylinder, 4-Stroke",1
101,Lambretta,India,V200,200.0,12.9,16.0,Automatic,Belt,1,1.15,2023,Classy,Scooter,"Air Cooled, Single Cylinder, 4-Stroke",1
102,Lifan,China,LF125S,125.0,9.4,9.5,CVT,Automatic,1,0.55,2023,Modern,Scooter,"Air Cooled, Single Cylinder, 4-Stroke",1
103,Lifan,China,LF200GY,200.0,12.0,14.0,CVT,Automatic,1,0.75,2023,Modern,Scooter,"Air Cooled, Single Cylinder, 4-Stroke",1
104,Lifan,China,LF250K,250.0,18.5,18.0,6-speed Manual,Chain,1,1.1,2023,Modern,Adventure,"Air Cooled, Single Cylinder, 4-Stroke",1
105,Lifan,China,LF250GY-3,250.0,22.5,21.0,6-speed Manual,Chain,1,1.1,2023,Modern,Sport,"Air Cooled, Single Cylinder, 4-Stroke",1
106,Mahindra,India,Mojo 300,295.0,348.5,28.0,6-speed Manual,Chain,2,2.08,<2020,Adventure,Naked,"Single-cylinder, liquid-cooled, DOHC",1
107,Mahindra,India,Xpulse 200,199.6,238.0,17.3,5-speed Manual,Chain,2,1.29,<2020,Adventure,Standard,"Single-cylinder, air-cooled, OHC",1
108,Mahindra,India,Gusto 125,124.9,140.7,10.5,4-speed Manual,Chain,2,0.7,<2020,Commuter,Standard,"Single-cylinder, air-cooled, OHC",1
109,Mahindra,India,Duro DZire,110.0,111.8,8.5,4-speed Manual,Chain,2,0.55,<2020,Commuter,Standard,"Single-cylinder, air-cooled, OHC",1
110,Mahindra,India,Centuro 100,106.7,8.5,8.5,4-speed Manual,Chain,2,0.54,<2020,Commuter,Standard,"Single-cylinder, air-cooled, OHC",1
111,Moto Guzzi,Italy,V85 TT,853.0,80.0,100.4,6-speed Manual,Shaft,2,15.4,2022,Adventure,Standard,V-twin,2
112,Moto Guzzi,Italy,V9 Bobber,900.0,65.0,80.8,6-speed Manual,Shaft,2,13.6,<2020,Bobber,Cruiser,V-twin,2
113,Moto Guzzi,Italy,V9 Roamer,900.0,65.0,80.8,6-speed Manual,Shaft,2,13.3,<2020,Cruiser,Cruiser,V-twin,2
114,Moto Guzzi,Italy,Audace,900.0,75.0,97.9,6-speed Manual,Shaft,2,14.8,<2020,Cruiser,Cruiser,V-twin,2
115,Moto Guzzi,Italy,Eldorado,1400.0,96.0,117.0,6-speed Manual,Shaft,2,17.5,<2020,Classic,Cruiser,V-twin,2
116,Moto Guzzi,Italy,MGX-21,1700.0,115.0,121.0,6-speed automatic,Shaft,2,24.9,2021,Cruiser,Cruiser,V-twin,2
117,MV Agusta,Italy,F3 800 RR,798.0,147.0,88.0,6-speed Manual,Chain,2,18.9,2023,Classy,Supersport,3-cylinder,3
118,MV Agusta,Italy,Brutale 1000 RR,998.0,208.0,116.0,6-speed Manual,Chain,2,25.4,2023,Aggressive,Naked,3-cylinder,3
119,MV Agusta,Italy,Turismo Veloce Lusso,800.0,110.0,86.0,6-speed Manual,Shaft,2,22.8,2023,Classic,Sport touring,3-cylinder,3
120,MV Agusta,Italy,Dragster RR,800.0,140.0,86.0,6-speed Manual,Chain,2,21.1,2023,Futuristic,Naked,3-cylinder,3
121,MV Agusta,Italy,Superveloce 800,798.0,140.0,86.0,6-speed Manual,Chain,2,20.7,2023,Retro,Cafe racer,3-cylinder,3
122,Norton,United Kingdom,Commando 961 Café Racer,961.0,80.0,67.0,6-speed Manual,Chain,2,20.99,2023,Classy,Café racer,"Air-cooled, parallel-twin",2
123,Norton,United Kingdom,Commando 961 Sport,961.0,80.0,67.0,6-speed Manual,Chain,2,20.99,2023,Classy,Sports bike,"Air-cooled, parallel-twin",2
124,Norton,United Kingdom,Atlas,1200.0,105.0,90.0,6-speed Manual,Shaft,2,32.99,2022,Adventure,Adventure bike,"Liquid-cooled, parallel-twin",2
125,Norton,United Kingdom,V4SV,1200.0,177.0,125.0,6-speed Manual,Chain,2,35.99,2023,Sporty,Superbike,"Liquid-cooled, V4",4
126,Piaggio,Italy,Aprilia SR160,160.0,11.3,11.5,CVT,Automatic,2,1.25,2023,Sporty,Scooter,"Air-cooled, single-cylinder",1
127,Piaggio,Italy,Aprilia RS150,150.0,17.7,14.2,6-speed Manual,Chain,2,1.55,2023,Sporty,Sports bike,"Liquid-cooled, single-cylinder",1
128,Piaggio,Italy,Aprilia Tuono 660,660.0,95.0,67.0,6-speed Manual,Chain,2,3.15,2022,Sporty,Naked bike,"Liquid-cooled, parallel-twin",2
129,Piaggio,Italy,Vespa VX125,125.0,9.5,9.8,CVT,Automatic,2,1.15,2023,Classic,Scooter,"Air-cooled, single-cylinder",1
130,Piaggio,Italy,Vespa GTS300,300.0,23.8,26.0,CVT,Automatic,2,2.15,2023,Classic,Scooter,"Liquid-cooled, single-cylinder",1
131,Royal Enfield,India,Bullet 350,346.0,19.8,28.0,5-speed Manual,Chain,2,1.47,2023,Classic,Cruiser,"Air-cooled, single-cylinder",1
132,Royal Enfield,India,Bullet 500,499.0,27.2,41.0,5-speed Manual,Chain,2,1.97,2023,Classic,Cruiser,"Air-cooled, single-cylinder",1
133,Royal Enfield,India,Meteor 350,349.0,265.6,27.0,5-speed Manual,Chain,2,1.65,2022,Classic,Cruiser,"Air-cooled, single-cylinder",1
134,Royal Enfield,India,Himalayan,411.0,322.2,32.0,5-speed Manual,Chain,2,2.2,2022,Adventure,Adventure bike,"Air-cooled, single-cylinder",1
135,Royal Enfield,India,Interceptor 650,648.0,625.9,52.0,6-speed Manual,Shaft,2,2.79,2022,Classic,Cafe racer,"Air-cooled, parallel-twin",2
136,Royal Enfield,India,Continental GT 650,648.0,625.9,52.0,6-speed Manual,Shaft,2,2.99,2022,Sporty,Cafe racer,"Air-cooled, parallel-twin",2
137,Royal Enfield,India,Super Meteor 650,648.0,47.0,52.3,6-speed Manual,Chain,2,3.65,2022,Classy,Cruiser,Parallel twin,2
138,Suzuki,Japan,Gixxer SF 250,249.0,26.5,22.6,6-speed Manual,Chain,2,1.79,2022,Sporty,Naked bike,Single-cylinder,1
139,Suzuki,Japan,Gixxer 250,249.0,26.5,22.6,6-speed Manual,Chain,2,1.49,2022,Sporty,Street bike,Single-cylinder,1
140,Suzuki,Japan,Intruder 150,155.0,14.8,14.0,5-speed Manual,Chain,2,1.2,2022,Classic,Cruiser,Single-cylinder,1
141,Suzuki,Japan,Access 125,124.0,8.7,10.2,CVT,Automatic,2,0.68,2022,Practical,Scooter,Single-cylinder,1
142,Suzuki,Japan,Burgman Street 125,124.0,8.7,10.2,CVT,Automatic,2,0.78,2022,Practical,Scooter,Single-cylinder,1
143,SYM,Taiwan,Joymax Z 300,300.0,32.0,26.0,Automatic,CVT,2,3.25,2023,Adventure,Maxi-Scooter,"Liquid-cooled, 4-stroke, single-cylinder",1
144,SYM,Taiwan,Maxsym 400i,400.0,33.0,34.0,Automatic,CVT,2,4.5,2022,Sporty,Maxi-Scooter,"Liquid-cooled, 4-stroke, single-cylinder",1
145,SYM,Taiwan,Joyride 125,125.0,10.0,10.0,Automatic,CVT,2,1.1,2022,Classy,Scooter,"Air-cooled, 4-stroke, single-cylinder",1
146,SYM,Taiwan,Fiddle III 125,125.0,9.0,9.0,Automatic,CVT,2,0.95,2021,Classy,Scooter,"Air-cooled, 4-stroke, single-cylinder",1
147,SYM,Taiwan,HD 200,200.0,17.0,16.0,Manual,Chain,2,1.5,2020,Classic,Naked Bike,"Air-cooled, 4-stroke, single-cylinder",1
148,Triumph,United Kingdom,Rocket 3 R,2500.0,167.0,221.7,6-speed Manual,Shaft,2,20.19,2023,"Classy, cruiser",Cruiser,3-cylinder,3
149,Triumph,United Kingdom,Speed Triple 1200 RR,1160.0,177.0,129.2,6-speed Manual,Chain,1,17.95,2023,"Sporty, aggressive",Naked,3-cylinder,3
150,Triumph,United Kingdom,Trident 660,660.0,89.0,80.2,6-speed Manual,Chain,2,7.45,2022,"Modern, sporty",Naked,3-cylinder,2
151,Triumph,United Kingdom,Tiger 900 GT Pro,888.0,105.0,87.0,6-speed Manual,Shaft,2,14.99,2023,"Adventure, touring",Adventure,3-cylinder,1
152,Triumph,United Kingdom,Tiger 850 Sport,888.0,85.0,84.3,6-speed Manual,Shaft,2,11.95,2022,"Adventure, sporty",Adventure,3-cylinder,1
153,Triumph,United Kingdom,Speed Twin 900,900.0,97.0,115.6,6-speed Manual,Chain,2,8.49,2022,"Classic, stylish",Naked,2-cylinder,2
154,Triumph,United Kingdom,Bonneville T100,900.0,65.0,80.2,5-speed Manual,Chain,2,9.69,2022,"Classic, vintage",Cruiser,2-cylinder,2
155,Triumph,United Kingdom,Bonneville T120,1200.0,79.0,118.3,5-speed Manual,Chain,2,11.09,2022,"Classic, vintage",Cruiser,2-cylinder,2
156,Vespa,Italy,Primavera,150.0,12.1,16.6,CVT,Automatic,2,1.32,2022,"Classic, stylish",Scooter,1-cylinder,1
157,Vespa,Italy,Sprint,125.0,10.0,12.0,CVT,Automatic,2,1.15,2022,"Modern, sporty",Scooter,1-cylinder,1
158,Vespa,Italy,GTS 300,300.0,23.8,26.4,CVT,Automatic,2,1.75,2022,"Sporty, aggressive",Scooter,1-cylinder,1
159,Vespa,Italy,946,125.0,10.7,12.5,CVT,Automatic,2,1.65,2022,"Classic, vintage",Scooter,1-cylinder,1
160,Vespa,Italy,Elettrica,70.0,5.4,76.2,CVT,Electric,2,1.1,2022,"Modern, stylish",Scooter,Electric,0
161,Yamaha,Japan,R1,998.0,200.0,152.3,6-speed Manual,Chain,1,20.0,2023,"Sporty, aggressive",Sportbike,4-cylinder,4
162,Yamaha,Japan,MT-09,889.0,117.0,93.8,6-speed Manual,Chain,1,8.5,2022,"Modern, sporty",Naked,3-cylinder,3
163,Yamaha,Japan,R3,321.0,42.0,39.4,6-speed Manual,Chain,1,5.5,2022,"Sporty, beginner-friendly",Sportbike,4-cylinder,4
164,Yamaha,Japan,FZ-25,249.0,26.0,25.3,5-speed Manual,Chain,1,3.5,2022,"Modern, stylish",Naked,1-cylinder,1
165,Yamaha,Japan,XSR155,155.0,18.0,20.0,5-speed Manual,Chain,1,2.0,2022,"Classic, vintage",Retro,1-cylinder,1
166,Beta,Italy,RR 350 2-Stroke,350.0,40.0,34.0,6-speed Manual,Chain,1,12.5,2023,Classy,Enduro,Two-stroke,1
167,Beta,Italy,RR 250 2-Stroke,250.0,35.0,27.0,6-speed Manual,Chain,1,11.0,2023,Classy,Enduro,Two-stroke,1
168,Beta,Italy,RR 125 2-Stroke,125.0,27.0,22.0,6-speed Manual,Chain,1,8.0,2023,Classy,Enduro,Two-stroke,1
169,Beta,Italy,RR 390 4-Stroke,390.0,45.0,37.0,6-speed Manual,Chain,1,14.0,2023,Classy,Enduro,Four-stroke,1
170,Beta,Italy,RR 250 4-Stroke,250.0,38.0,28.0,6-speed Manual,Chain,1,12.0,2023,Classy,Enduro,Four-stroke,1
171,Beta,Italy,RR 125 4-Stroke,125.0,24.0,20.0,6-speed Manual,Chain,1,8.5,2023,Classy,Enduro,Four-stroke,1
172,Beta,Italy,Alp 200,200.0,25.0,22.0,5-speed Manual,Shaft,2,10.5,2023,Adventure,Dual-sport,Four-stroke,1
173,Beta,Italy,Alp 125,125.0,20.0,18.0,5-speed Manual,Shaft,2,8.0,2023,Adventure,Dual-sport,Four-stroke,1
174,GasGas,Spain,MC 250F,250.0,37.0,26.0,6-speed Manual,Chain,1,11.0,2023,Modern,Enduro,Four-stroke,1
175,GasGas,Spain,MC 350F,350.0,44.0,32.0,6-speed Manual,Chain,1,13.0,2023,Modern,Enduro,Four-stroke,1
176,GasGas,Spain,MC 450F,450.0,52.0,42.0,6-speed Manual,Chain,1,14.5,2023,Modern,Enduro,Four-stroke,1
177,GasGas,Spain,EC 250,250.0,35.0,25.0,6-speed Manual,Chain,1,10.5,2023,Modern,Motocross,Two-stroke,1
178,GasGas,Spain,EC 300,300.0,40.0,30.0,6-speed Manual,Chain,1,12.0,2023,Modern,Motocross,Two-stroke,1
179,GasGas,Spain,EC 250F,250.0,37.0,26.0,6-speed Manual,Chain,1,11.5,2023,Modern,Enduro,Two-stroke,1
180,GasGas,Spain,EC 300F,300.0,44.0,32.0,6-speed Manual,Chain,1,13.0,2023,Modern,Enduro,Two-stroke,1
181,GasGas,Spain,SM 700,693.0,74.0,70.0,6-speed Manual,Chain,1,14.5,2023,Modern,Supermoto,Single,1
182,Harley-Davidson,United States,LiveWire,1133.0,105.0,116.0,Single Speed,Other,1,35.0,2021,Modern,Cruiser,Electric,1
183,Honda,Japan,CT125,124.9,10.2,10.4,CVT,Shaft,1,1.35,2022,Adventure,Trail,Single,1
184,Honda,Japan,Super Cub,110.0,8.5,9.5,CVT,Chain,1,0.65,2023,Classic,Standard,Single,1
185,Husqvarna,Sweden,Vitpilen 250,248.76,30.84,24.0,6-speed Manual,Chain,1,2.19,2023,Classy,Naked,Single-cylinder,1
186,Husqvarna,Sweden,Svartpilen 250,248.76,30.84,24.0,6-speed Manual,Chain,1,2.19,2023,Adventure,Naked,Single-cylinder,1
